"title","salary_yearly","company_name","job_posted_date"
"Data Analyst","650000","Mantys","2023-02-20"
"Director of Analytics","336500","Meta","2023-08-23"
"Associate Director- Data Insights","255830","AT&T","2023-06-18"
"Data Analyst, Marketing","232423","Pinterest Job Advertisements","2023-12-05"
"Data Analyst (Hybrid/Remote)","217000","Uclahealthcareers","2023-01-17"
"Principal Data Analyst (Remote)","205000","SmartAsset","2023-08-09"
"Director, Data Analyst - HYBRID","189309","Inclusively","2023-12-07"
"Principal Data Analyst, AV Performance Analysis","189000","Motional","2023-01-05"
"Principal Data Analyst","186000","SmartAsset","2023-07-11"
"ERM Data Analyst","184000","Get It Recruit - Information Technology","2023-06-09"
"Azure Data Python Consultant - contract to HIRE - Citizen or Perm...","170000","Kelly Science, Engineering, Technology & Telecom","2023-01-23"
"REMOTE Director of Data Analytics","170000","A-Line Staffing Solutions","2023-08-09"
"DTCC Data Analyst","170000","Robert Half","2023-10-06"
"Manager, Data Analyst","167000","Uber","2023-04-18"
"Data Analyst","165000","Plexus Resource Solutions","2023-12-08"
