"skills","skill_count","salary_yearly","type"
"sql","12","194213","programming"
"python","11","192142","programming"
"tableau","8","202195","analyst_tools"
"r","6","198875","programming"
"excel","5","196766","analyst_tools"
"pandas","4","202957","libraries"
"azure","4","196285","cloud"
"power bi","3","205046","analyst_tools"
"snowflake","3","193436","cloud"
"go","3","187000","programming"
"databricks","2","212915","cloud"
"oracle","2","203155","cloud"
"confluence","2","189155","async"
"jira","2","189155","async"
"aws","2","222569","cloud"
"numpy","2","195500","libraries"
"atlassian","2","189155","other"
"bitbucket","2","189155","other"
"gitlab","2","195500","other"
"looker","2","166000","analyst_tools"
"sas","1","165000","programming"
"flow","1","217000","other"
"git","1","189000","other"
"sas","1","165000","analyst_tools"
"jenkins","1","189309","other"
"crystal","1","217000","programming"
"hadoop","1","232423","libraries"
"java","1","170000","programming"
"matlab","1","165000","programming"
"jupyter","1","255830","libraries"
"powerpoint","1","255830","analyst_tools"
"sap","1","189309","analyst_tools"
"pyspark","1","255830","libraries"
"swift","1","167000","programming"
