"skills","salary_yearly","skill_count","type"
"go","115320","27","programming"
"snowflake","112948","37","cloud"
"azure","111225","34","cloud"
"aws","108317","32","cloud"
"oracle","104534","37","cloud"
"looker","103795","49","analyst_tools"
"python","101397","236","programming"
"r","100499","148","programming"
"tableau","99288","230","analyst_tools"
"sas","98902","63","programming"
"sas","98902","63","analyst_tools"
"sql server","97786","35","databases"
"power bi","97431","110","analyst_tools"
"sql","97237","398","programming"
"flow","97200","28","other"
"powerpoint","88701","58","analyst_tools"
"excel","87288","256","analyst_tools"
"sheets","86088","32","analyst_tools"
"word","82576","48","analyst_tools"
